Date,Value,Min,Max,Variation,Volume,Action,index
2024-01-08,1200.00,1200.00,1200.00,0.00,35,AFMA,
2024-01-08,195.05,189.80,195.95,2.12,73607,TGCC,
2024-01-08,1000.00,990.00,1000.00,1.01,87,SOTHEMA,
2024-01-08,270.00,270.00,270.00,0.00,260,Lesieur Cristal,
2024-01-08,4000.00,4000.00,4012.00,-2.44,10,Wafa Assur,
2024-01-08,194.95,194.05,203.00,-0.05,10795,Risma,
2024-01-08,258.50,254.50,258.75,1.37,1188,Jet Contractors,
2024-01-08,125.00,125.00,125.00,0.00,30,ATLANTASANAD,
2024-01-08,21.97,21.97,21.97,0.00,1170,IBMaroc,
2024-01-08,117.80,117.80,117.80,0.00,50,SRM,
2024-01-08,95.00,94.99,95.49,0.00,1911,Immr Invest,
2024-01-08,4000.00,4000.00,4159.00,0.03,14,Afriquia Gaz,
2024-01-08,67.10,67.00,67.20,0.15,15865,Auto Hall,
2024-01-08,280.00,277.00,280.00,0.02,30851,BCP,
2024-01-08,2323.00,2323.00,2323.00,-5.95,570,Auto Nejma,
2024-01-08,1270.00,1270.00,1270.00,-2.31,6,Sanlam Maroc,
2024-01-08,325.10,325.10,325.10,0.03,40,Afric Indus,
2024-01-08,143.65,143.00,148.95,1.88,111007,Alliances,
2024-01-08,649.00,639.50,649.00,3.84,106,Microdata,
2024-01-08,1180.00,1170.00,1180.00,0.00,1006,Total Maroc,
2024-01-08,87.11,87.11,87.11,0.00,200,INVOLYS,
2024-01-08,24.75,22.99,25.00,8.89,202234,Res.Dar Saada,
2024-01-08,6999.00,6999.00,6999.00,-0.01,1,Agma,
2024-01-08,182.90,179.00,182.90,0.49,2196,BOA,
2024-01-08,1717.00,1716.00,1718.00,0.94,46,Ciments Maroc,
2024-01-08,486.90,480.00,487.00,-0.12,182,SNEP,
2024-01-08,36.50,35.63,37.00,-1.22,432,Delta Holding,
2024-01-08,1400.00,1400.00,1460.00,-1.41,275,SMI,
2024-01-08,940.00,940.00,940.00,0.00,300,PROMOPHARM,
2024-01-08,22.20,22.00,22.20,-1.77,323,Cartier Saada,
2024-01-08,93.35,93.00,95.96,-2.74,2762,FENIE BROSSETTE,
2024-01-08,570.00,570.00,570.00,0.00,350,BMCI,
2024-01-08,1339.00,1339.00,1339.00,0.30,20,Aluminium Maroc,
2024-01-08,157.00,156.00,159.00,0.48,77559,CFG Bank,
2024-01-08,342.50,342.00,348.80,-1.44,38787,CIH,
2024-01-08,1132.00,1132.00,1189.00,-1.57,2147,CMT,
2024-01-08,599.00,599.00,599.00,4.72,10,CTM,
2024-01-08,1350.00,1350.00,1350.00,0.07,20,Oulmes,
2024-01-08,480.75,480.75,480.75,-5.99,24700,SALAFIN,
2024-01-08,512.10,506.00,515.00,0.41,37023,Akdital,
2024-01-08,29.60,29.00,29.80,0.34,3075,STROC Indus,
2024-01-08,188.00,186.20,190.20,0.53,571,Disty Technolog,
2024-01-08,1994.00,1951.00,1994.00,0.71,81,LafargeHolcim,
2024-01-08,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-08,1009.00,1009.00,1009.00,0.90,45,EQDOM,
2024-01-08,195.50,195.50,199.00,-0.76,29080,COSUMAR,
2024-01-08,45.61,45.61,46.50,-1.91,1276,Colorado,
2024-01-08,279.00,272.00,279.00,1.27,13291,SODEP,
2024-01-09,252.10,250.05,252.10,-1.70,1093,Mutandis,
2024-01-09,87.00,87.00,87.00,-0.13,120,INVOLYS,
2024-01-09,1715.00,1700.00,1717.00,-0.12,4258,Ciments Maroc,
2024-01-09,1180.00,1180.00,1180.00,0.00,35,Total Maroc,
2024-01-09,475.10,468.70,475.10,1.09,150673,Attijariwafa,
2024-01-09,342.70,342.50,345.00,0.06,45541,CIH,
2024-01-09,4280.00,4151.00,4280.00,2.86,106,LABEL VIE,
2024-01-09,16.41,16.22,16.48,-0.49,866143,Addoha,
2024-01-09,1350.00,1350.00,1350.00,0.00,20,Oulmes,
2024-01-09,78.50,78.50,78.50,0.00,20,Zellidja,
2024-01-09,520.10,512.00,522.90,1.56,10477,Akdital,
2024-01-09,672.00,672.00,672.00,-2.33,22,DISWAY,
2024-01-09,1339.00,1339.00,1339.00,0.00,10,Aluminium Maroc,
2024-01-09,22.00,22.00,22.78,-0.90,1268,Cartier Saada,
2024-01-09,265.00,258.80,270.00,2.51,35846,Jet Contractors,
2024-01-09,117.80,117.80,117.80,0.00,50,SRM,
2024-01-09,67.30,67.00,67.87,0.30,10455,Auto Hall,
2024-01-09,1194.00,1170.00,1199.00,-0.50,240710,TAQA Morocco,
2024-01-09,477.00,477.00,486.90,-2.03,198,SNEP,
2024-01-09,1053.00,1053.00,1053.00,4.36,145,EQDOM,
2024-01-09,560.00,559.00,569.90,-1.75,17200,BMCI,
2024-01-09,508.00,508.00,508.00,5.67,200,SALAFIN,
2024-01-09,270.00,270.00,270.00,0.00,10,Lesieur Cristal,
2024-01-09,153.10,151.00,157.00,-2.48,65107,CFG Bank,
2024-01-09,1120.00,1090.00,1160.00,-1.06,1988,CMT,
2024-01-09,190.00,190.00,190.00,0.00,1540,S2M,
2024-01-09,1028.00,995.00,1028.00,2.80,519,SOTHEMA,
2024-01-09,278.00,276.00,278.00,-0.36,7360,SODEP,
2024-01-09,30.75,28.96,30.75,3.89,25,STROC Indus,
2024-01-09,4100.00,4100.00,4100.00,2.50,2650,Wafa Assur,
2024-01-09,95.88,93.00,95.88,2.71,112,FENIE BROSSETTE,
2024-01-09,1410.00,1383.00,1410.00,0.71,41,SMI,
2024-01-09,201.00,197.10,207.00,3.05,151408,TGCC,
2024-01-09,1224.00,1224.00,1224.00,2.00,1,AFMA,
2024-01-09,192.20,188.00,195.00,-1.41,13989,Risma,
2024-01-09,125.00,123.55,125.10,0.00,2685,ATLANTASANAD,
2024-01-09,23.48,20.78,23.48,6.87,1540,IBMaroc,
2024-01-09,95.00,95.00,96.58,0.00,1077,Immr Invest,
2024-01-09,4000.00,4000.00,4159.00,0.00,14,Afriquia Gaz,
2024-01-09,282.95,278.00,283.00,1.05,57578,BCP,
2024-01-09,325.30,325.30,325.30,0.06,80,Afric Indus,
2024-01-09,46.40,46.40,46.50,1.73,250,Colorado,
2024-01-09,83.00,83.00,83.00,-0.97,180,Rebab Company,
2024-01-09,7000.00,7000.00,7000.00,0.01,2,Agma,
2024-01-09,23.90,23.90,25.85,-3.43,73498,Res.Dar Saada,
2024-01-09,32.00,31.70,32.00,0.00,1147,Ennakl,
2024-01-09,183.00,181.00,183.00,0.05,4165,BOA,
2024-01-09,10.90,10.80,10.97,-0.82,1269,Stokvis Nord Afr,
2024-01-09,198.00,195.30,198.00,1.28,2084,COSUMAR,
2024-01-09,1994.00,1951.00,1994.00,0.00,81,LafargeHolcim,
2024-01-09,2325.00,2325.00,2325.00,0.09,50,Auto Nejma,
2024-01-09,1300.00,1280.00,1300.00,2.36,123,Sanlam Maroc,
2024-01-09,142.00,140.10,145.05,-1.15,67801,Alliances,
2024-01-09,664.10,663.10,667.00,-0.14,1006,Sonasid,
2024-01-09,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-09,850.00,850.00,850.00,0.01,20,CDM,
2024-01-09,36.69,35.70,36.70,0.52,659,Delta Holding,
2024-01-09,446.00,441.00,446.00,1.13,28,Aradei Capital,
2024-01-09,639.00,630.00,639.00,-1.54,82,Microdata,
2024-01-09,189.00,186.45,189.00,0.53,521,Disty Technolog,
2024-01-09,940.00,940.00,940.00,0.00,300,PROMOPHARM,
2024-01-09,597.50,597.50,597.50,-0.25,10,CTM,
2024-01-09,2289.00,2289.00,2289.00,-1.97,497,Ste Boissons,
2024-01-10,23.39,21.14,23.39,-0.38,160,IBMaroc,
